language,term,system,truth,score
fr,having an early warning system in place can allow people to evacuate in time making a difference between life and death even simple systems such as sirens can be very effective if people understand them and know what to do when they hear them,système d'alerte précoce,"La mise en place d'un système de première alerte peut permettre d'évacuer la population à temps, ce qui fait la différence dans le nombre de pertes humaines. Même de simples systèmes tels que des sirènes peuvent être très efficaces si les gens en comprennent le sens et savent quoi faire quand ils les entendent.",0.05
fr,women and children are often among the people most vulnerable to disasters education can make a difference between life and death when you know what to do you know how to act simulation exercises are a good way to learn what to do,Éducation à la préparation aux catastrophes,"Parmi la population, les femmes et les enfants sont souvent les plus vulnérables pendant les catastrophes. L'éducation peut faire la différence dans le nombre de pertes humaines. Quand vous savez quoi faire, vous savez comment agir. Les exercices de simulation sont un excellent moyen d'apprendre les bons gestes.",0.01
fr,the best way to protect any building and its occupants from a tsunami is its wise placement the hotel location needs to respect some distance from the shore tourists also need to be informed about dangers they may face when they are on holidays in unfamiliar conditions,Mitigation du risque tsunami par la localisation,La meilleure façon de protéger un bâtiment et ses occupants d'un tsunami est de l'édifier dans un endroit sûr. L'emplacement de l'hôtel doit respecter une certaine distance vis-à-vis du rivage. Les touristes doivent également être informés des dangers auxquels ils peuvent avoir à faire face quand ils sont en vacances dans un environnement peu familier.,0.02
fr,the beaches are lovely here have you considered placing a hotel at the waters edge,Les plages sont charmantes ici. Avez-vous envisagé d'installer un hôtel au bord de l'eau ?,Les plages sont splendides ici. Avez-vous envisagé d'implanter un hôtel en bord de mer?,0.81
fr,i think i see the water level receding rapidly from the beach is that a sign,Je pense voir le niveau d'eau se retirer rapidement de la plage. Est-ce un signe ?,J'ai l'impression que la mer se retire rapidement du bord de la plage. Serait-ce un signe annonciateur?,0.59
fr,flash floods,inondation flash,De brusques inondations!,0.56
fr,earlier today a flood washed in over this small community in eastern europe the flood was severe but thanks to evacuation plans in place people were given enough warning to evacuate their homes a survivor reported i got to the community centre as soon as i could it was already buzzing with people a good sign the warning systems did their job although the flood was severe because of investment in retrofitting buildings the damage and financial loss was minimised most recent estimates show the death toll has raised to deathtoll and a further injurytoll seriously injured comment outcome,inondation,"De bonne heure aujourd'hui, une crue a déferlé sur cette petite ville d'Europe de l'Est. L'inondation était grave, mais grâce aux plans d'évacuation mis en place, les habitants ont été avertis suffisamment tôt pour évacuer leurs maisons. Un survivant raconte : « Je me suis rendu au centre communautaire dès que j'ai pu. Il était déjà bondé, signe que les systèmes d'alerte ont bien fonctionné. » Bien que l'inondation ait été grave, les investissements engagés dans la réhabilitation des bâtiments ont permis de minimiser l'ampleur des dégâts et pertes financières. Les dernières estimations indiquent que le nombre des décès s'élève à {{DEATHTOLL}} et autres {{INJURYTOLL}} blessés graves. {{COMMENT}} {{OUTCOME}}",0.00
fr,earlier today a flood washed in over this small community in eastern europe with no evacuation plans people were taken by surprise as the flood swept over their community causing massive damages and casualties a survivor reported we have a community centre designed to shelter people as we are aware of the dangers of living in a flood plain but this time there was no warning whatsoever most recent estimates show the death toll has raised to deathtoll and a further injurytoll seriously injured comment outcome,"Ce matin, une inondation a balayé cette petite communauté d'Europe de l'Est. Sans plans d'évacuation, les habitants ont été pris de court alors que l'eau se répandait sur leur village, causant d'énormes dégâts et des pertes humaines massives. Un survivant a déclaré : « Nous disposons d'un centre communautaire conçu pour abriter les gens, sachant les dangers de vivre sur une plaine inondable, mais cette fois, il n'y a eu aucun avertissement. » Les estimations les plus récentes indiquent que le bilan mortel a atteint {{DEATHTOLL}} et que {{INJURYTOLL}} autres personnes ont été gravement blessées. {{COMMENT}} {{OUTCOME}}","De bonne heure aujourd'hui, une crue a déferlé sur cette petite ville d'Europe de l'Est. Sans aucun plan d'évacuation, les habitants ont été surpris par les flots qui ont envahi leur communauté, entraînant d'énormes dégâts et de lourdes pertes. Un survivant raconte : « Notre centre communautaire a été conçu pour abriter la population car nous connaissons les risques de vivre dans une plaine inondable, mais il n'y a eu aucun signe précurseur. » Les maisons de cette petite ville ont subi d'énormes dégâts, estimés pour l'heure à ${{COST}}. Les dernières estimations indiquent que le nombre des décès s'élève à {{DEATHTOLL}} et autres {{INJURYTOLL}} blessés graves. {{COMMENT}} {{OUTCOME}}",0.01
fr,questions are already being asked about the local hospitals poor planning which may have led to its destruction and the loss of many patients,"Des questions sont déjà posées concernant la mauvaise planification de l'hôpital local, ce qui pourrait avoir entraîné sa destruction et la perte de nombreux patients.",Des questions se posent déjà sur la structure de l'hôpital local qui peut avoir causé la mort de nombreux patients.,0.67
fr,this small community suffered further loss when the local school was inundated by the waves many children who were sheltering within are reported still missing,Cette petite communauté a subi des pertes supplémentaires lorsque l'école locale a été inondée par les vagues. De nombreux enfants qui s'étaient réfugiés à l'intérieur sont toujours déclarés disparus.,Cette petite ville a subi de nouvelles pertes lorsque son école a été inondée par les vagues. De nombreux enfants qui s'y abritaient sont toujours portés disparus.,0.75
fr,our community has been hit hard by these floods however we should thank our recently appointed town planner for the measures that were introduced they have saved many lives,"Notre communauté a été durement touchée par ces inondations. Cependant, nous devons remercier notre nouvel urbaniste récemment nommé pour les mesures introduites. Ils ont sauvé de nombreuses vies.","« Notre communauté a été durement frappée par ces inondations. Néanmoins, nous devons remercier notre nouvel urbaniste pour les mesures qui ont été adoptées. Elles ont sans aucun doute permis de sauver de nombreuses vies. »",0.32
fr,we have launched a full investigation into the poor planning our recently appointed town planner has been suspended pending the results of the report,Nous avons lancé une enquête complète sur la mauvaise planification. Notre nouvellement nommé urbaniste a été suspendu en attendant les résultats du rapport.,« Nous avons lancé une enquête approfondie sur la qualité de la structure du bâtiment. L'urbaniste récemment engagé a été suspendu en attendant les conclusions du rapport d'enquête. »,0.65
fr,the roots of trees bind the soil together and help to prevent landslides caused by flooding,renforcement des sols par les racines,Les racines des arbres retiennent le sol et aident à prévenir les glissements de terrain provoqués par les inondations.,0.14
fr,farm land,terrain agricole,Terre agricole,0.87
fr,farmland increases the community wealth however is can be ruined if flooded if you want to maintain community wealth protect your farms,Gestion des risques d'inondation en agriculture,"Les terres agricoles augmentent la richesse de la communauté. Toutefois, elles peuvent être détruites en cas d'inondation. Si vous voulez préserver la richesse de la communauté, protégez vos exploitations agricoles.",0.00
fr,small wooden huts provide little protection against floods on their own but are cheap,petites huttes en bois,"Les petites huttes en bois à elles seules offrent peu de protection contre les inondations, mais sont bon marché.",0.33
fr,brick cottage,maison en briques,Résidences en briques,0.68
fr,brick cottages provide better protection against floods but its advisable to build additional defences,"Les maisons en briques offrent une meilleure protection contre les inondations, mais il est conseillé de construire des défenses supplémentaires.","Les résidences en briques offrent une meilleure protection contre les inondations, mais il est recommandé de leur adjoindre des défenses supplémentaires.",0.87
fr,houses with waterproofed brick can provide some protection against floods,Les maisons à briques étanches peuvent offrir une certaine protection contre les inondations.,Les maisons fabriquées en briques imperméabilisées peuvent assurer une certaine protection contre les inondations.,0.82
fr,4 bedroom concrete house,Maison à 4 chambres en béton,Maison de 4 chambres en béton,0.95
fr,concrete housing provides the sturdiest buildings,Les logements en béton fournissent les bâtiments les plus solides.,Les habitations en béton sont les plus robustes.,0.59
fr,5 bedroom concrete house,Maison en béton à cinq chambres,Maison de 5 chambres en béton,0.50
fr,concrete housing provides the sturdiest buildings,Les logements en béton fournissent les bâtiments les plus solides.,Les habitations en béton sont les plus robustes.,0.59
fr,hotels provide accommodation for a large number of people increasing community wealth,"Les hôtels offrent un hébergement à un grand nombre de personnes, augmentant la richesse communautaire.","Les hôtels assurent l'hébergement de beaucoup de gens, accroissant ainsi la richesse de la communauté.",0.66
fr,churches are large strong buildings that can provide a safe place for a lot of people in the surrounding area,Églises,Les églises sont de grands bâtiments robustes qui peuvent fournir un refuge pour de nombreuses personnes alentours.,0.12
fr,carries electricity to nearby buildings,Distribution d'électricité aux bâtiments proches,Les pylônes transportent l'électricité vers les bâtiments avoisinants.,0.54
fr,commercial block,Bloc commercial,Centre commercial,0.75
fr,commercial areas must be kept safe as a lot of people depend on their services,"Les zones commerciales doivent rester sécurisées, car de nombreuses personnes dépendent de leurs services.",Les zones commerciales doivent être maintenues sécurisées car beaucoup de gens dépendent des services qui y sont dispensés.,0.70
fr,generates electricity for the community,Production d'électricité communautaire,Une centrale électrique produit l'électricité pour la communauté.,0.58
fr,the wells in this area are used for the local water supply if they are not protected during a flood they may be contaminated by dirty water and create a public heath risk,Puits d'approvisionnement local à risque d'inondation,"Les puits de cette région servent à approvisionner la population locale en eau. S'ils ne sont pas protégés lors d'une inondation, ils peuvent être contaminés par des eaux polluées et créer un risque de santé publique.",0.08
fr,wetlands,zones humides,Marais,0.11
fr,wetlands are a good natural defence against the floods as they soak up water,zones humides,Les marais sont une bonne défense naturelle contre les inondations car ils absorbent l'eau.,0.14
fr,these manufactured panels are designed to stop landslides during floods,panneaux de blocage des glissements de terrain en période d'inondation,Ces panneaux manufacturés sont conçus pour arrêter les glissements de terrain pendant les inondations.,0.62
fr,earth levee,barrière de terre,Remblais de terre,0.65
fr,earth levees are barriers built between buildings to stop the flow of water,digue de terrain,Les remblais de terre sont des barrières édifiées entre les bâtiments pour arrêter l'écoulement de l'eau.,0.20
fr,rock dyke,dit,Digue de rochers,0.21
fr,a rock dyke is a strong barrier that directs the flow of the water away from built up areas,barrage rocheux,Une digue de rochers est une robuste barrière qui détourne l'écoulement de l'eau loin des zones construites.,0.15
fr,1 meter wall,Mur d'un mètre,Mur de 1 mètre,0.81
fr,walls can be constructed anywhere around town areas to make a protective barrier however be aware that big walls will trap water behind them,murs,"Des murs peuvent être construits partout autour des zones urbaines pour créer une barrière protectrice. Toutefois, soyez conscients que les grands murs piégeront l'eau derrière eux.",0.04
fr,walls can be constructed anywhere around town areas to make a protective barrier however be aware that big walls will trap water behind them,murs,"Des murs peuvent être construits partout autour des zones urbaines pour créer une barrière protectrice. Toutefois, soyez conscients que les grands murs piégeront l'eau derrière eux.",0.04
fr,walls can be constructed anywhere around town areas to make a protective barrier however be aware that big walls will trap water behind them,murs,"Des murs peuvent être construits partout autour des zones urbaines pour créer une barrière protectrice. Toutefois, soyez conscients que les grands murs piégeront l'eau derrière eux.",0.04
fr,drainage ditch,tranchée de drainage,Fossé de drainage,0.70
fr,drainage ditches act as overfill channels for flood plains providing a place for the water to go however they can fill up if they are not maintained and cleaned,tranchée de drainage,Les fossés de drainage servent de canaux de remplissage dans les zones inondables et permettent aux eaux de s'écouler. Ils peuvent cependant déborder s'ils ne sont pas entretenus et nettoyés.,0.14
fr,this is a city in central europe located near a mountainous region that is prone to occasional flooding the city has a population of population people whose livelihoods are mainly in service industries and energy production you have to protect as many people buildings and livelihoods as you can against a possible flood…,zone à risque d'inondation,"Cette ville d'Europe centrale, située près d'une région montagneuse, est souvent victime d'inondations. La ville compte {{POPULATION}} habitants qui vivent principalement des industries de services et de production d'énergie. Vous devez protéger autant de personnes, de bâtiments et de moyens de subsistance que possible d'une menace d'inondation…",0.03
fr,your challenge is to provide accommodation to target people build hospitals hospital and schools school and cover the wells,"Votre défi consiste à fournir un logement aux {{TARGET}} personnes, à construire {{HOSPITALS}} et {{SCHOOLS}} et à couvrir les puits.","Votre mission: héberger {{TARGET}} personnes, construire {{HOSPITALS}} {{HOSPITAL}} et {{SCHOOLS}} {{SCHOOL}}, et couvrez les puits.",0.71
fr,think about what you can do to protect people and their property against flooding you have a choice of different housing and upgrades and defences are also available choose the best options and save as many people as you can,Gestion du risque d'inondation,Réfléchissez à ce que vous pouvez faire pour protéger les personnes et leurs biens contre les inondations. Vous avez le choix entre différents types d'hébergement et de nombreuses possibilités d'amélioration et de défenses. Choisissez les meilleures options et sauvez autant de personnes que vous pouvez.,0.04
fr,you have a budget of budget and around time minutes to work some areas will flood and then it will be too late good luck,Vous disposez d'un budget de ${{BUDGET}} et d'environ {{TIME}} minutes pour travailler. Certaines zones vont inonder puis il sera trop tard. Bonne chance!,"Vous disposez d'un budget de {{BUDGET}} et de {{TIME}} minutes environ pour travailler. Certaines régions vont être inondées et ensuite, il sera trop tard. Bonne chance!",0.87
fr,natural wetlands flood plains and forests provide excellent natural protection as they can absorb a quantity of flood water maintaining open flood plains and wetlands is a major contribution to flood prevention as they help to spread or reduce the destructive force of floodwaters and can minimise flood impacts,"zones humides naturelles, plaines inondables et forêts","Les zones humides naturelles, les plaines inondables et les forêts constituent une excellente protection naturelle en cas d'inondation car elles peuvent absorber de grands volumes d'eau. La conservation des plaines inondables et des zones humides contribue pour beaucoup à la prévention des inondations car elles aident à répartir ou à réduire la force destructrice des crues et minimiser les impacts des inondations.",0.14
fr,buildings need to be situated and built considering the landscape and river or flooding characteristics those located further from dangerous water conditions and on higher ground stand a better chance of survival during floods economic factors however can drive people to place buildings too close to water hazards you can use the risk map to identify areas most prone to flooding and danger,Zonage de risque d'inondation,Les bâtiments doivent être implantés et construits en fonction du paysage et des caractéristiques d'un fleuve ou du risque d'inondation. Les structures situées loin des zones dangereuses et installées en hauteur ont davantage de chance de résister aux inondations. Certains facteurs économiques peuvent néanmoins inciter les gens à construire au bord de l'eau. Vous pouvez utiliser la carte des risques pour identifier les zones les plus sensibles aux inondations et dangers.,0.03
fr,dams and reservoirs dikes and levees retaining ponds flood channels and flood walls may help to reduce flooding in particular conditions however they also are costly and can be disruptive to the natural environment if they are built correctly they can limit the damaging forces of floodwaters,"barrages et réservoirs, digues et talus, bassins de retenue, canaux de dérivation et murs de protection contre les inondations","Barrages et réservoirs, digues et fossés, bassins de retenue, canaux d'évacuation de crues et autres murs de protection peuvent aider à réduire l'ampleur des inondations dans certaines circonstances. Tous ces équipements coûtent néanmoins très cher et peuvent perturber l'environnement naturel. S'ils sont correctement construits, ils peuvent limiter les forces destructrices des crues.",0.25
fr,evacuation plans are crucial to saving lives they can be as simple as knowing the quickest way to evacuate going to higher ground or as elaborate as community exercise drills organised by local leaders or government officials as you have installed an early warning system an evacuation now will be possible once an early warning and official instructions are given,plans d'évacuation,"Les plans d'évacuation sont cruciaux pour sauver des vies. Ils peuvent être simples, comme indiquer la manière la plus rapide d'évacuer, d'aller vers les hauteurs, ou plus élaborés, comme les exercices d'urgence organisés par les dirigeants locaux ou les fonctionnaires gouvernementaux. Puisque vous avez installé un système de première alerte, une évacuation sera maintenant possible, dès que la première alerte et les instructions officielles seront données.",0.00
fr,protecting wells and other local sources of drinking water from contamination is important as floods often carry toxic materials raw sewage animal waste oil and chemicals this activity will avoid additional disaster when floods occur,Protection des puits et autres sources locales d'eau potable contre la contamination,"Il est important de protéger les puits et les autres sources locales d'eau potable de toute contamination car les inondations apportent souvent des matières toxiques, des eaux d'égouts, des déchets d'animaux, du pétrole et des produits chimiques. Cette action permettra d'éviter d'autres catastrophes en cas d'inondations.",0.19
fr,where flooding is common when possible build in a way and with materials that can avoid or withstand the damaging forces of floodwaters,construction résistante aux inondations,"Dans une zone où les inondations sont courantes, construisez si possible de façon à et avec des matériaux permettant de résister ou de détourner les forces destructrices des crues.",0.17
fr,if possible avoid building on flood plains or other areas prone to flooding a risk map can show which areas are most exposed to different types of disasters if a community makes its own risk map the people can learn more about the safer places to live or build,Cartographie des risques,"Si possible, évitez de construire dans les plaines inondables ou dans les autres secteurs propices aux inondations. Une carte des risques peut indiquer les zones les plus exposées aux divers types de catastrophes. Si une communauté crée sa propre carte des risques, ses membres pourront identifier les endroits les plus sûrs où vivre ou construire leurs habitations.",0.08
fr,locate peoples homes schools and important public buildings above likely flood levels this is an effective way to increase peoples safety and protect buildings from serious damage by exploring the options available for upgrading buildings you will understand how simple measures taken in advance can offer important protection,Cartographie des risques d'inondation,"Installez les maisons, écoles et autres bâtiments publics importants au-dessus des niveaux probables d'inondation. C'est un moyen efficace d'augmenter la sécurité des personnes et de protéger les bâtiments de sérieux dégâts. En étudiant les options disponibles pour améliorer la résistance des bâtiments, vous comprendrez combien de simples mesures prises à l'avance peuvent offrir une protection importante.",0.00
fr,once an evacuation is announced people will go to community shelters evacuation plans should include special arrangements for elderly young and disabled people and ensure adequate food water sanitation and lodging facilities schools a stadium or other public buildings in safe locations should be planned and supplied as possible emergency shelters,abris communautaires,"Quand une évacuation est annoncée, les gens vont se mettre à l'abri dans le bâtiment du centre communautaire. Les plans d'évacuation doivent comporter certaines précautions à prendre pour les personnes âgées, les enfants et les personnes handicapées, et prévoir des réserves d'eau et de nourriture, des sanitaires et autres installations d'hébergement, en nombre suffisant. Des écoles, un stade ou d'autres bâtiments publics situés en lieu sûr doivent être réquisitionnés pour servir d'abri d'urgence.",0.00
fr,schools and hospitals can become excellent meeting and shelter places in addition to providing important education and medical help as everyone in the community will know how to go to these buildings quickly they should always be constructed in safe areas and be protected as much as possible,Abri scolaire et hospitalier,"Outre leur mission pédagogique et médicale, les écoles et les hôpitaux peuvent parfaitement servir de lieux de rassemblement et d'abri. Comme chaque membre de la communauté sait comment s'y rendre rapidement, ces infrastructures doivent toujours être construites en lieu sûr et être protégées le mieux possible.",0.01
fr,floods can trigger other disasters such as mudslides collapsed bridges or create conditions of inaccessible and therefore uncontrollable fires protecting critical infrastructures from these possible secondary risks is vital,risques secondaires,"Les inondations peuvent déclencher d'autres catastrophes telles que coulées de boue, effondrements de ponts ou provoquer des incendies inaccessibles donc incontrôlables. Il est indispensable de protéger les infrastructures cruciales de ces risques potentiels secondaires.",0.02
fr,people need to know about local natural hazards so they can recognise early signs of their approach and then flee to safety listening to local and regional weather information and having a good knowledge of what to do when flood alerts or warnings are issued can save lives,Sensibilisation aux risques,"Les gens doivent être informés des risques naturels existants dans leur région afin de pouvoir identifier les premiers signes annonciateurs et fuir vers des endroits plus sûrs. Écouter les informations météorologiques locales et régionales, avoir une bonne connaissance de ce qu'il faut faire quand des alertes ou avertissements d'inondation sont émis, peut sauver des vies.",0.02
fr,basements and underground buildings are especially prone to flooding important or expensive appliances heating and electrical systems should be located above likely flood levels,"Les sous-sols et bâtiments souterrains sont particulièrement susceptibles d’être inondés. Les équipements importants ou coûteux, les systèmes de chauffage et d’électricité, devraient être situés au-dessus des niveaux d’inondation probables.","Les caves et sous-sols des bâtiments sont plus particulièrement inondables. Les appareils électriques importants ou chers, les systèmes électriques et de chauffage doivent être situés au-dessus des niveaux probables d'inondation.",0.31
fr,flooding can cause sewage to enter houses through drain pipes creating additional health hazards installing sewer backflow valves can help to minimise this risk,retour d'eaux usées,"Les inondations peuvent faire remonter, par les canalisations, les eaux d'égouts dans les maisons créant des risques sanitaires supplémentaires. L'installation de soupapes anti-reflux d'égout peut aider à réduire ce risque au minimum.",0.04
fr,development on a flood plain is risky and must be carefully planned any efforts to redirect rivers or to canalise water flows often creates additional flood risks it is best to leave flood plains as unbuilt areas such as for recreational use nature reserves for agricultural land or pastures,développement sur la plaine inondable,"Construire en plaine inondable est risqué et doit être soigneusement planifié. Tous les efforts pour détourner les fleuves ou canaliser les écoulements d'eau créent généralement des risques d'inondation supplémentaires. Mieux vaut laisser les plaines inondables non construites, comme zones de loisirs, réserves naturelles, terres agricoles ou pâturages.",0.06
fr,are my houses built near any flood zones can i protect them better,Évaluation des risques d'inondation résidentielle,Mes maisons sont-elles construites aux abords d'une zone inondable ? Puis-je mieux les protéger ?,0.30
fr,wildfire strikes,Incendie forestier,Un feu de forêt a frappé !,0.52
fr,earlier today a dangerous wildfire started in this small town on these arid plains the fire began at midday and it was through well planned preparedness drills and evacuation plans that people were able to shelter themselves from the inferno in time a survivor reported i got to the community centre as soon as i could it was already buzzing with people a good sign the warning systems did their job although the fire was severe because of investment in retrofitting buildings the damage and financial loss were reduced most recent estimates show the death toll has raised to deathtoll and a further injurytoll seriously injured comment outcome,"Plus tôt aujourd'hui, un incendie de forêt dangereux a éclaté dans cette petite ville sur ces plaines arides. L'incendie a commencé à midi et grâce à des exercices de préparation bien planifiés et des plans d'évacuation, les gens ont pu se protéger à temps du feu. Un survivant a déclaré : « Je suis allé au centre communautaire dès que j'ai pu. Il était déjà plein de monde, un bon signe que les systèmes d'alerte ont fait leur travail. » Bien que l'incendie ait été sévère, grâce aux investissements dans la rénovation des bâtiments, les dommages et les pertes financières ont été réduits. Les dernières estimations montrent que le bilan des victimes s'élève à {{DEATHTOLL}} et que {{INJURYTOLL}} autres personnes ont été gravement blessées. {{COMMENT}} {{OUTCOME}}","De bonne heure aujourd'hui, un dangereux feu de forêt s'est déclaré dans les plaines arides de cette petite ville. Le feu a pris naissance vers midi et, grâce aux bons exercices de préparation et plans d'évacuation, les habitants ont pu se mettre à l'abri du brasier à temps. n survivant raconte : « Je me suis rendu au centre communautaire dès que j'ai pu. Il était déjà bondé, signe que les systèmes d'alerte ont bien fonctionné. » Bien que l'incendie ait été violent, les investissements engagés dans la réhabilitation des bâtiments ont permis de minimiser l'ampleur des dégâts et pertes financières. Les dernières estimations indiquent que le nombre des décès s'élève à {{DEATHTOLL}} et autres {{INJURYTOLL}} blessés graves. {{COMMENT}} {{OUTCOME}}",0.04
fr,earlier today a dangerous wildfire started in this small town on these arid plains with no evacuation plans arranged by the councils town planner people were cornered by the blaze with few chances to escape a survivor reported we have a community centre designed to shelter people as it is an area exposed to wildfires but there was no warning whatsoever homes in this small community suffered enormous damage currently estimated at cost most recent estimates show the death toll has raised to deathtoll and a further injurytoll seriously injured comment outcome,"Ce jour, un incendie de forêt dangereux a éclaté dans cette petite ville sur ces plaines arides. Aucun plan d'évacuation n'ayant été mis en place par le maître d'œuvre municipal, les habitants se sont retrouvés pris au piège par le feu avec peu de chances de s'échapper. Un survivant a déclaré : « Nous disposons d'un centre communautaire conçu pour abriter les gens car c'est une zone exposée aux incendies de forêt, mais aucune alerte n'a été donnée ». Les maisons de cette petite communauté ont subi d'énormes dommages, dont la valeur est actuellement estimée à ${{COST}}. Les estimations les plus récentes indiquent que le nombre de morts a augmenté à {{DEATHTOLL}} et que {{INJURYTOLL}} personnes ont été grièvement blessées. {{COMMENT}} {{OUTCOME}}","De bonne heure aujourd'hui, un dangereux feu de forêt s'est déclaré dans les plaines arides de cette petite ville. L'urbaniste de la ville n'ayant prévu aucun plan d'évacuation, les gens ont été acculés par les flammes, avec peu de chances d'en réchapper. Un survivant raconte : « Notre centre communautaire a été conçu pour abriter la population car nous savons que la région est exposée aux feux de forêt, mais il n'y a eu aucun signe précurseur. » Les maisons de cette petite ville ont subi d'énormes dégâts, estimés pour l'heure à ${{COST}}. Les dernières estimations indiquent que le nombre des décès s'élève à {{DEATHTOLL}} et autres {{INJURYTOLL}} blessés graves. {{COMMENT}} {{OUTCOME}}",0.02
fr,questions are already being asked about the local hospitals poor planning which may have led to its destruction and the loss of many patients,"Des questions sont déjà posées concernant la mauvaise planification de l'hôpital local, ce qui pourrait avoir entraîné sa destruction et la perte de nombreux patients.",Cette petite ville a subi de nouvelles pertes lorsque son école a été inondée par les vagues. De nombreux enfants qui s'y abritaient sont toujours portés disparus.,0.27
fr,this small community suffered further loss when the local school was inundated by the waves many children who were sheltering within are reported still missing,Cette petite communauté a subi des pertes supplémentaires lorsque l'école locale a été inondée par les vagues. De nombreux enfants qui s'étaient réfugiés à l'intérieur sont toujours déclarés disparus.,Des questions se posent déjà sur la structure de l'hôpital local qui peut avoir causé la mort de nombreux patients.,0.33
fr,our community has been hit hard by this wildfire however we should thank our recently appointed town planner for the measures they introduced they have saved many lives,"Notre communauté a été durement touchée par cet incendie de forêt, cependant nous devons remercier notre urbaniste récemment nommé pour les mesures qu'il a introduites. Ils ont sauvé de nombreuses vies.","« Notre ville a été durement frappée par ce feu de forêt. Néanmoins, nous devons remercier notre nouvel urbaniste pour les mesures qui ont été adoptées. Elles ont permis de sauver de nombreuses vies. »",0.72
fr,we have launched a full investigation into the poor planning our recently appointed town planner has been suspended pending the results of the report,Nous avons lancé une enquête complète sur la mauvaise planification. Notre nouvellement nommé urbaniste a été suspendu en attendant les résultats du rapport.,« Nous avons lancé une enquête approfondie sur la qualité de la structure du bâtiment. L'urbaniste récemment engagé a été suspendu en attendant les conclusions du rapport d'enquête. »,0.65
fr,these trees hold little moisture and catch fire very easily,Ces arbres retiennent peu d'humidité et prennent feu très facilement.,Ces arbres ne retiennent que très peu l'humidité et s'enflamment très facilement.,0.81
fr,these trees hold moisture and are more difficult to catch fire,Ces arbres retiennent l'humidité et sont plus difficiles à mettre en feu.,Ces arbres retiennent l'humidité et s'enflamment plus difficilement.,0.82
fr,rocks,roches,Rochers,0.92
fr,expensive to clear and prepare but provide some separation from fire,béton résistant au feu,Chers à enlever. Mais ils fournissent une certaine barrière contre le feu.,0.28
fr,4 bedroom house,Maison à quatre chambres,Maison de 4 chambres,0.77
fr,a standard 4 bedroom house with a painted roof,une maison standard de 4 chambres avec un toit peint,Maison ordinaire de 4 chambres au toit peint,0.77
fr,a small 3 bedroom house with standard painted roof,maison de trois pièces avec toit peint standard,Petite maison de 3 chambres au toit peint,0.59
fr,6 bedroom house,maison de six chambres,Maison de 6 chambres,0.90
fr,standard 6 bedroom house fitted with asphalt upgraded roofing,Maison standard à 6 chambres avec toiture en asphalte améliorée,Maison standard de 6 chambres équipée d'une toiture en asphalte,0.78
fr,the mines are big business in this town and a lot of people work here be sure to keep the areas safe as a lot of people maybe working here during the disaster,Les mines sont un grand secteur d'activité dans cette ville et beaucoup de gens y travaillent. Assurez-vous de garder les zones sûres car beaucoup de personnes pourraient y travailler pendant la catastrophe.,Les mines sont une activité économique importante de cette ville et beaucoup de gens y travaillent. Veillez à sécuriser ces espaces car beaucoup de gens sont susceptibles de s'y trouver pendant une catastrophe.,0.26
fr,water tower,tour d'eau,Château d'eau,0.67
fr,the water towers provide storage for water for people far away from rivers build your houses close to these to ensure good water supply for hose pipes and sprinklers,tour d'eau,Les châteaux d'eau assurent le stockage de l'eau pour les personnes loin des fleuves. Construisez vos maisons près de ces derniers pour garantir un approvisionnement en eau suffisant pour les tuyaux d'arrosage et les arroseurs.,0.00
fr,communal swimming pools cost a lot to remove,Coût élevé de l'élimination des piscines communautaires,Les piscines communales sont très coûteuses à supprimer.,0.44
fr,mangroves can be built on watery ground and hold a lot of moisture providing a great firebreak,Mangroves,Les mangroves sont une bonne défense naturelle contre le feu.,0.26
fr,roads are useful for transportation and to allow access to fire trucks during a wildfire they also serve as a firebreak,route d'incendie,Les routes sont utiles pour le transport et pour permettre l'accès aux camions de pompiers au cours d'un feu de forêt. Elles servent aussi de coupe-feu.,0.16
fr,firebreaks,trou de feu,Coupe-feux,0.60
fr,land that has been cleared of trees create a firebreak which can sometimes stop the spread of a wildfire,barrière coupe-feu,Les terres ont été déboisées pour créer un coupe-feu qui permet parfois d'arrêter la propagation d'un feu de forêt.,0.22
fr,dry bushes,buissons secs,Brousse sèche,0.62
fr,these bushes hold little moisture and catch fire very easily,Arbustes à faible teneur en humidité,Ces buissons sont presque sans humidité et s'enflamment facilement.,0.32
fr,these are the outer suburbs of an australian city prone to wildfires the population of population live mostly from farming and services activities you have to protect as many people buildings and livelihoods as you can against a possible wildfire…,"Ces sont les banlieues périphériques d'une ville australienne, sujettes aux incendies de forêt. La population de {{POPULATION}} vit principalement grâce à l'agriculture et aux activités de services. Vous devez protéger autant de personnes, de bâtiments et de moyens de subsistance que possible contre un éventuel incendie de forêt.","Nous sommes dans la grande banlieue d'une ville australienne, très sensible aux feux de forêt. Les {{POPULATION}} habitants tirent leurs ressources de l'agriculture et des activités de services. Vous devez protéger autant de personnes, de bâtiments et de moyens de subsistance que possible d'une menace de feu de forêt…",0.06
fr,your challenge is to provide accommodation for target people build hospitals hospital and schools school it is important to protect the water towers located around the area,assistance humanitaire,"Votre mission: héberger {{TARGET}} personnes, construire {{HOSPITALS}} {{HOSPITAL}} et {{SCHOOLS}} {{SCHOOL}}. Il est important de protéger les châteaux d'eau situés dans le secteur.",0.17
