term,translation,context,language,confidence,winning_model,consensus,version,code,url
Gravitational Mass Movement (‘Landslide’),movimiento de masa,"A gravitational mass movement (‘landslide’) is the downslope movement of soil, rock and organic materials under the effects of gravity, which occurs when the gravitational driving forces exceed the frictional resistance of the material resisting on the slope. Such movements may be terrestrial or submarine (GH0306) (cf. Cruden and Varnes, 1996).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,GH0300,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/gh0300
Gravitational Mass Movement (‘Landslide’),Massenbewegung,"A gravitational mass movement (‘landslide’) is the downslope movement of soil, rock and organic materials under the effects of gravity, which occurs when the gravitational driving forces exceed the frictional resistance of the material resisting on the slope. Such movements may be terrestrial or submarine (GH0306) (cf. Cruden and Varnes, 1996).",de,0.98,gemini-3.5,Single model (skipped consensus),0.1,GH0300,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/gh0300
Volcanic Gases and Aerosols,Gaz et aérosols volcaniques,"Volcanic gas includes any gas-phase substance that is emitted by volcanic or volcanic-geothermal activity. Volcanic aerosols include liquid or solid particles that are small enough to be suspended in the air, and that are emitted by volcanic or volcanic-geothermal activity (adapted from Baxter and Horwell, 2015, Fischer and Chiodini, 2015, and Williams-Jones and Rymer ,2015).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,GH0205,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/gh0205
Volcanic Gases and Aerosols,Gases y aerosoles volcánicos,"Volcanic gas includes any gas-phase substance that is emitted by volcanic or volcanic-geothermal activity. Volcanic aerosols include liquid or solid particles that are small enough to be suspended in the air, and that are emitted by volcanic or volcanic-geothermal activity (adapted from Baxter and Horwell, 2015, Fischer and Chiodini, 2015, and Williams-Jones and Rymer ,2015).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,GH0205,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/gh0205
Volcanic Gases and Aerosols,Vulkanische Gase und Aerosole,"Volcanic gas includes any gas-phase substance that is emitted by volcanic or volcanic-geothermal activity. Volcanic aerosols include liquid or solid particles that are small enough to be suspended in the air, and that are emitted by volcanic or volcanic-geothermal activity (adapted from Baxter and Horwell, 2015, Fischer and Chiodini, 2015, and Williams-Jones and Rymer ,2015).",de,0.98,gemini-3.5,Single model (skipped consensus),0.1,GH0205,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/gh0205
Pesticides,pesticide,"Pesticide means any substance, or mixture of substances of chemical or biological ingredients intended for repelling, destroying or controlling any pest, or regulating plant growth.",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,CH0501,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0501
Pesticides,plaguicida,"Pesticide means any substance, or mixture of substances of chemical or biological ingredients intended for repelling, destroying or controlling any pest, or regulating plant growth.",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,CH0501,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0501
Pesticides,Pestizid,"Pesticide means any substance, or mixture of substances of chemical or biological ingredients intended for repelling, destroying or controlling any pest, or regulating plant growth.",de,0.98,gemini-3.5,Single model (skipped consensus),0.1,CH0501,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0501
Chlorine,chlore,"Chlorine is a reactive pale green gas with many uses including disinfection of water. Chlorine is approximately 2.4 times heavier than air and has a characteristic odour similar to bleach. Most significant exposures to chlorine result from loss of containment of chlorine during storage and transport. Human exposure can result in symptoms ranging from mild irritation to rapid death related to pulmonary oedema. It is considered a significant public health hazard (adapted from IPCS, 1982 and PHE, 2019).",fr,1.0,gemini-3.5,Single model (skipped consensus),0.1,CH0303,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0303
Chlorine,cloro,"Chlorine is a reactive pale green gas with many uses including disinfection of water. Chlorine is approximately 2.4 times heavier than air and has a characteristic odour similar to bleach. Most significant exposures to chlorine result from loss of containment of chlorine during storage and transport. Human exposure can result in symptoms ranging from mild irritation to rapid death related to pulmonary oedema. It is considered a significant public health hazard (adapted from IPCS, 1982 and PHE, 2019).",es,1.0,gemini-3.5,Single model (skipped consensus),0.1,CH0303,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0303
Chlorine,Chlor,"Chlorine is a reactive pale green gas with many uses including disinfection of water. Chlorine is approximately 2.4 times heavier than air and has a characteristic odour similar to bleach. Most significant exposures to chlorine result from loss of containment of chlorine during storage and transport. Human exposure can result in symptoms ranging from mild irritation to rapid death related to pulmonary oedema. It is considered a significant public health hazard (adapted from IPCS, 1982 and PHE, 2019).",de,1.0,gemini-3.5,Single model (skipped consensus),0.1,CH0303,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0303
Estuarine (Coastal) Flooding,submersion estuarienne,"Estuarine flooding is flooding over and near coastal areas caused by storm surges and high winds coincident with high tides, thereby obstructing the seaward river flow. Estuarine flooding can be caused by tsunamis in specific cases (WMO, 2011).",fr,0.95,gemini-3.5,Single model (skipped consensus),0.1,MH0602,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/mh0602
Estuarine (Coastal) Flooding,inundación estuarina,"Estuarine flooding is flooding over and near coastal areas caused by storm surges and high winds coincident with high tides, thereby obstructing the seaward river flow. Estuarine flooding can be caused by tsunamis in specific cases (WMO, 2011).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,MH0602,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/mh0602
Estuarine (Coastal) Flooding,Ästuar-Hochwasser,"Estuarine flooding is flooding over and near coastal areas caused by storm surges and high winds coincident with high tides, thereby obstructing the seaward river flow. Estuarine flooding can be caused by tsunamis in specific cases (WMO, 2011).",de,0.93,gemini-3.5,Single model (skipped consensus),0.1,MH0602,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/mh0602
Vaccine-Preventable Diseases,Maladies évitables par la vaccination,"Vaccine-preventable diseases are those infectious diseases that can be prevented by vaccination (WHO, 2019).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0107,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0107
Vaccine-Preventable Diseases,Enfermedades prevenibles por vacunación,"Vaccine-preventable diseases are those infectious diseases that can be prevented by vaccination (WHO, 2019).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0107,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0107
Vaccine-Preventable Diseases,Durch Impfung vermeidbare Krankheiten,"Vaccine-preventable diseases are those infectious diseases that can be prevented by vaccination (WHO, 2019).",de,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0107,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0107
Tailings,Résidus miniers,"Tailings are a by-product of mining, consisting of the processed rock or soil left over from the separation of the commodities of value from the rock or soil within which they occur (adapted from GISTM, 2020).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0511,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0511
Tailings,Relaves,"Tailings are a by-product of mining, consisting of the processed rock or soil left over from the separation of the commodities of value from the rock or soil within which they occur (adapted from GISTM, 2020).",es,0.97,gemini-3.5,Single model (skipped consensus),0.1,TL0511,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0511
Tailings,Aufbereitungsrückstände,"Tailings are a by-product of mining, consisting of the processed rock or soil left over from the separation of the commodities of value from the rock or soil within which they occur (adapted from GISTM, 2020).",de,0.96,gemini-3.5,Single model (skipped consensus),0.1,TL0511,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0511
Trypanosomiasis,trypanosomiase,"Trypanosomiasis, human African (sleeping sickness) and animal trypanosomosis (nagana) are caused by protozoan parasites belonging to the genus Trypanosoma transmitted by infected tsetse flies and is endemic in sub-Saharan Africa. Without treatment, the disease is considered fatal (adapted from WHO, 2023 and FAO, no date).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0238,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0238
Trypanosomiasis,tripanosomiasis,"Trypanosomiasis, human African (sleeping sickness) and animal trypanosomosis (nagana) are caused by protozoan parasites belonging to the genus Trypanosoma transmitted by infected tsetse flies and is endemic in sub-Saharan Africa. Without treatment, the disease is considered fatal (adapted from WHO, 2023 and FAO, no date).",es,0.99,gemini-3.5,Single model (skipped consensus),0.1,BI0238,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0238
Trypanosomiasis,Trypanosomiasis,"Trypanosomiasis, human African (sleeping sickness) and animal trypanosomosis (nagana) are caused by protozoan parasites belonging to the genus Trypanosoma transmitted by infected tsetse flies and is endemic in sub-Saharan Africa. Without treatment, the disease is considered fatal (adapted from WHO, 2023 and FAO, no date).",de,0.97,gemini-3.5,Single model (skipped consensus),0.1,BI0238,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0238
Civil Unrest,Troubles civils,"Civil unrest is an umbrella term for a wide spectrum of social and/or political phenomena, and although there is no commonly agreed definition, the term is used widely among United Nations agencies, funds and programmes.",fr,0.95,gemini-3.5,Single model (skipped consensus),0.1,SO0103,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/so0103
Civil Unrest,Disturbios civiles,"Civil unrest is an umbrella term for a wide spectrum of social and/or political phenomena, and although there is no commonly agreed definition, the term is used widely among United Nations agencies, funds and programmes.",es,0.95,gemini-3.5,Single model (skipped consensus),0.1,SO0103,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/so0103
Civil Unrest,innere Unruhen,"Civil unrest is an umbrella term for a wide spectrum of social and/or political phenomena, and although there is no commonly agreed definition, the term is used widely among United Nations agencies, funds and programmes.",de,0.98,gemini-3.5,Single model (skipped consensus),0.1,SO0103,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/so0103
Prion Diseases,Maladies à prions,"Prion diseases are a family of rare progressive neurodegenerative disorders that affect both humans and animals (Adapted from CDC, 2024, and WHO, no date).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0230,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0230
Prion Diseases,Enfermedades priónicas,"Prion diseases are a family of rare progressive neurodegenerative disorders that affect both humans and animals (Adapted from CDC, 2024, and WHO, no date).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0230,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0230
Prion Diseases,Prionenerkrankungen,"Prion diseases are a family of rare progressive neurodegenerative disorders that affect both humans and animals (Adapted from CDC, 2024, and WHO, no date).",de,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0230,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0230
Viral Haemorrhagic Fevers,Fièvres hémorragiques virales,"Viral haemorrhagic fevers include a spectrum of relatively mild to severe life-threatening diseases characterized by sudden onset of muscle and joint pain, fever, bleeding and shock from loss of blood. In severe cases, one of the most prominent symptoms is bleeding, or haemorrhaging, from orifices and internal organs (WHO, no date a).",fr,0.99,gemini-3.5,Single model (skipped consensus),0.1,BI0109,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0109
Viral Haemorrhagic Fevers,Fiebres hemorrágicas víricas,"Viral haemorrhagic fevers include a spectrum of relatively mild to severe life-threatening diseases characterized by sudden onset of muscle and joint pain, fever, bleeding and shock from loss of blood. In severe cases, one of the most prominent symptoms is bleeding, or haemorrhaging, from orifices and internal organs (WHO, no date a).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0109,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0109
Viral Haemorrhagic Fevers,Virale hämorrhagische Fieber,"Viral haemorrhagic fevers include a spectrum of relatively mild to severe life-threatening diseases characterized by sudden onset of muscle and joint pain, fever, bleeding and shock from loss of blood. In severe cases, one of the most prominent symptoms is bleeding, or haemorrhaging, from orifices and internal organs (WHO, no date a).",de,0.99,gemini-3.5,Single model (skipped consensus),0.1,BI0109,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0109
Infectious Animal Diseases (Not Zoonoses),maladies animales infectieuses non zoonotiques,"Non-zoonotic infectious animal diseases are not shared between animals and humans (WHO, FAO, & OIE, 2019).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0301,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0301
Infectious Animal Diseases (Not Zoonoses),enfermedades animales infecciosas no zoonóticas,"Non-zoonotic infectious animal diseases are not shared between animals and humans (WHO, FAO, & OIE, 2019).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,BI0301,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0301
Infectious Animal Diseases (Not Zoonoses),nicht-zoonotische infektiöse Tierkrankheiten,"Non-zoonotic infectious animal diseases are not shared between animals and humans (WHO, FAO, & OIE, 2019).",de,0.95,gemini-3.5,Single model (skipped consensus),0.1,BI0301,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0301
Neglected Tropical Diseases,Maladies tropicales négligées,"Neglected tropical diseases (NTDs) are a diverse group of conditions caused by a variety of pathogens (including viruses, bacteria, parasites, fungi and toxins) and associated with devastating health, social and economic consequences. NTDs are mainly prevalent among impoverished communities in tropical areas, although some have a much larger geographical distribution. (WHO, no date a).",fr,1.0,gemini-3.5,Single model (skipped consensus),0.1,BI0105,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0105
Neglected Tropical Diseases,Enfermedades tropicales desatendidas,"Neglected tropical diseases (NTDs) are a diverse group of conditions caused by a variety of pathogens (including viruses, bacteria, parasites, fungi and toxins) and associated with devastating health, social and economic consequences. NTDs are mainly prevalent among impoverished communities in tropical areas, although some have a much larger geographical distribution. (WHO, no date a).",es,1.0,gemini-3.5,Single model (skipped consensus),0.1,BI0105,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0105
Neglected Tropical Diseases,Vernachlässigte Tropenkrankheiten,"Neglected tropical diseases (NTDs) are a diverse group of conditions caused by a variety of pathogens (including viruses, bacteria, parasites, fungi and toxins) and associated with devastating health, social and economic consequences. NTDs are mainly prevalent among impoverished communities in tropical areas, although some have a much larger geographical distribution. (WHO, no date a).",de,1.0,gemini-3.5,Single model (skipped consensus),0.1,BI0105,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0105
Space Hazard / Accident,accident spatial,"A space accident is any accident involving space objects that cause damage (adapted from UNGA, 1971).",fr,0.95,gemini-3.5,Single model (skipped consensus),0.1,ET0204,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/et0204
Space Hazard / Accident,accidente espacial,"A space accident is any accident involving space objects that cause damage (adapted from UNGA, 1971).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,ET0204,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/et0204
Space Hazard / Accident,Raumfahrtunfall,"A space accident is any accident involving space objects that cause damage (adapted from UNGA, 1971).",de,0.97,gemini-3.5,Single model (skipped consensus),0.1,ET0204,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/et0204
Cyberbullying,cyberharcèlement,"Cyberbullying is bullying that takes place using digital devices such as cell/mobile phones, computers, and tablets. Cyberbullying can occur through SMS, e-mail, apps, social media, forums, or gaming when people view, participate in, or share content. Cyberbullying includes the deliberate sending, posting, or sharing of negative, harmful, false, or mean content about someone else. It can include sharing personal or private information about someone else causing embarrassment or humiliation. Some cyberbullying may also be unlawful or criminal behaviour (adapted from UNICEF, no date; PHE, 2014; US Government, no date).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0106,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0106
Cyberbullying,ciberacoso,"Cyberbullying is bullying that takes place using digital devices such as cell/mobile phones, computers, and tablets. Cyberbullying can occur through SMS, e-mail, apps, social media, forums, or gaming when people view, participate in, or share content. Cyberbullying includes the deliberate sending, posting, or sharing of negative, harmful, false, or mean content about someone else. It can include sharing personal or private information about someone else causing embarrassment or humiliation. Some cyberbullying may also be unlawful or criminal behaviour (adapted from UNICEF, no date; PHE, 2014; US Government, no date).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0106,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0106
Cyberbullying,Cybermobbing,"Cyberbullying is bullying that takes place using digital devices such as cell/mobile phones, computers, and tablets. Cyberbullying can occur through SMS, e-mail, apps, social media, forums, or gaming when people view, participate in, or share content. Cyberbullying includes the deliberate sending, posting, or sharing of negative, harmful, false, or mean content about someone else. It can include sharing personal or private information about someone else causing embarrassment or humiliation. Some cyberbullying may also be unlawful or criminal behaviour (adapted from UNICEF, no date; PHE, 2014; US Government, no date).",de,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0106,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0106
Nuclear Plant Failure,Accident nucléaire,"Nuclear plant failure occurs when the accidental melting of the core of a nuclear reactor results in a complete or partial core collapse (adapted from USNRC, 1975).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0208,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0208
Nuclear Plant Failure,Accidente nuclear,"Nuclear plant failure occurs when the accidental melting of the core of a nuclear reactor results in a complete or partial core collapse (adapted from USNRC, 1975).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0208,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0208
Nuclear Plant Failure,Kernkraftwerksunfall,"Nuclear plant failure occurs when the accidental melting of the core of a nuclear reactor results in a complete or partial core collapse (adapted from USNRC, 1975).",de,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0208,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0208
Water Supply Failure,Défaillance de l'approvisionnement en eau,"Water supply failure is the physical shortage or scarcity in access of water supply due to the failure of institutions to ensure a regular supply or due to a lack of adequate infrastructure (adapted from UN-Water, no date).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0210,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0210
Water Supply Failure,Fallo en el suministro de agua,"Water supply failure is the physical shortage or scarcity in access of water supply due to the failure of institutions to ensure a regular supply or due to a lack of adequate infrastructure (adapted from UN-Water, no date).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0210,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0210
Water Supply Failure,Ausfall der Wasserversorgung,"Water supply failure is the physical shortage or scarcity in access of water supply due to the failure of institutions to ensure a regular supply or due to a lack of adequate infrastructure (adapted from UN-Water, no date).",de,0.99,gemini-3.5,Single model (skipped consensus),0.1,TL0210,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0210
Toxic Gases,Gaz toxiques,"Toxic gases are substances in the gaseous state that cause hazardous physiological effects when inhaled, affecting the respiratory, cardiovascular, and nervous systems, making them major public hazards (WHO 2000).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,CH0300,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0300
Toxic Gases,Gases tóxicos,"Toxic gases are substances in the gaseous state that cause hazardous physiological effects when inhaled, affecting the respiratory, cardiovascular, and nervous systems, making them major public hazards (WHO 2000).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,CH0300,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0300
Toxic Gases,Toxische Gase,"Toxic gases are substances in the gaseous state that cause hazardous physiological effects when inhaled, affecting the respiratory, cardiovascular, and nervous systems, making them major public hazards (WHO 2000).",de,0.97,gemini-3.5,Single model (skipped consensus),0.1,CH0300,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0300
Antimicrobial Resistance,Résistance aux antimicrobiens,"Antimicrobial-resistant (AMR) microorganisms are bacteria, fungi, viruses, or parasites that evolve to withstand antimicrobial treatments, including antibiotics, antifungals, antivirals, and antiparasitics. These resistant microorganisms, make infections harder to treat, increasing the risk of disease spread, severe illness, and mortality. AMR is a major global public health and food security challenge and is driven by the misuse and overuse of antimicrobials in human medicine, animal health, and plant production and protection, as well as environmental contamination (adapted from WHO, 2023 and FAO, 2025).",fr,0.99,gemini-3.5,Single model (skipped consensus),0.1,BI0601,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0601
Antimicrobial Resistance,Resistencia a los antimicrobianos,"Antimicrobial-resistant (AMR) microorganisms are bacteria, fungi, viruses, or parasites that evolve to withstand antimicrobial treatments, including antibiotics, antifungals, antivirals, and antiparasitics. These resistant microorganisms, make infections harder to treat, increasing the risk of disease spread, severe illness, and mortality. AMR is a major global public health and food security challenge and is driven by the misuse and overuse of antimicrobials in human medicine, animal health, and plant production and protection, as well as environmental contamination (adapted from WHO, 2023 and FAO, 2025).",es,0.99,gemini-3.5,Single model (skipped consensus),0.1,BI0601,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0601
Antimicrobial Resistance,Antimikrobielle Resistenz,"Antimicrobial-resistant (AMR) microorganisms are bacteria, fungi, viruses, or parasites that evolve to withstand antimicrobial treatments, including antibiotics, antifungals, antivirals, and antiparasitics. These resistant microorganisms, make infections harder to treat, increasing the risk of disease spread, severe illness, and mortality. AMR is a major global public health and food security challenge and is driven by the misuse and overuse of antimicrobials in human medicine, animal health, and plant production and protection, as well as environmental contamination (adapted from WHO, 2023 and FAO, 2025).",de,0.99,gemini-3.5,Single model (skipped consensus),0.1,BI0601,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/bi0601
Hazardous Waste,Déchets dangereux,"Hazardous waste is waste that has physical, chemical, or biological characteristics such that it requires special handling and disposal procedures to avoid negative health effects, adverse environmental effects or both (Joint UNEP/OCHA Environment Unit, 2011).",fr,0.99,gemini-3.5,Single model (skipped consensus),0.1,TL0504,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0504
Hazardous Waste,Residuos peligrosos,"Hazardous waste is waste that has physical, chemical, or biological characteristics such that it requires special handling and disposal procedures to avoid negative health effects, adverse environmental effects or both (Joint UNEP/OCHA Environment Unit, 2011).",es,0.99,gemini-3.5,Single model (skipped consensus),0.1,TL0504,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0504
Hazardous Waste,Gefährliche Abfälle,"Hazardous waste is waste that has physical, chemical, or biological characteristics such that it requires special handling and disposal procedures to avoid negative health effects, adverse environmental effects or both (Joint UNEP/OCHA Environment Unit, 2011).",de,0.99,gemini-3.5,Single model (skipped consensus),0.1,TL0504,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0504
Reservoir Flooding,Inondation par rupture de barrage,"Man-made reservoirs, sometimes called artificial lakes, are important water sources in many countries around the world. In contrast to natural processes of lake formation, reservoirs are artificial, usually formed by constructing a dam across a river or by diverting a part of the river flow and storing the water in a reservoir. Reservoir flooding occurs as an uncontrolled release of water if a dam or reservoir fails (adapted from UNEP, 2000 and Defra and EA, 2014).",fr,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0215,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0215
Reservoir Flooding,Inundación por rotura de presa,"Man-made reservoirs, sometimes called artificial lakes, are important water sources in many countries around the world. In contrast to natural processes of lake formation, reservoirs are artificial, usually formed by constructing a dam across a river or by diverting a part of the river flow and storing the water in a reservoir. Reservoir flooding occurs as an uncontrolled release of water if a dam or reservoir fails (adapted from UNEP, 2000 and Defra and EA, 2014).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0215,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0215
Reservoir Flooding,Dammbruchüberflutung,"Man-made reservoirs, sometimes called artificial lakes, are important water sources in many countries around the world. In contrast to natural processes of lake formation, reservoirs are artificial, usually formed by constructing a dam across a river or by diverting a part of the river flow and storing the water in a reservoir. Reservoir flooding occurs as an uncontrolled release of water if a dam or reservoir fails (adapted from UNEP, 2000 and Defra and EA, 2014).",de,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0215,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0215
Extra-tropical Cyclone,Cyclone extratropical,"An extra-tropical cyclone is a low-pressure system, which develops in latitudes outside the tropics (WMO, 1992).",fr,0.95,gemini-3.5,Single model (skipped consensus),0.1,MH0307,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/mh0307
Extra-tropical Cyclone,Ciclón extratropical,"An extra-tropical cyclone is a low-pressure system, which develops in latitudes outside the tropics (WMO, 1992).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,MH0307,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/mh0307
Extra-tropical Cyclone,Außertropische Zyklone,"An extra-tropical cyclone is a low-pressure system, which develops in latitudes outside the tropics (WMO, 1992).",de,0.96,gemini-3.5,Single model (skipped consensus),0.1,MH0307,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/mh0307
Geomagnetic Disturbance,perturbation géomagnétique,"A geomagnetic disturbance refers to perturbations in Earth's magnetosphere caused by sudden and significant variations in the solar wind's speed, density, and magnetic properties. The intensity of a geomagnetic disturbance can be measured using different geomagnetic indexes. Although a geomagnetic disturbance is a global phenomenon, the intensities and characteristics vary at different geographic locations (NOAA, 2023).",fr,0.99,gemini-3.5,Single model (skipped consensus),0.1,ET0101,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/et0101
Geomagnetic Disturbance,perturbación geomagnética,"A geomagnetic disturbance refers to perturbations in Earth's magnetosphere caused by sudden and significant variations in the solar wind's speed, density, and magnetic properties. The intensity of a geomagnetic disturbance can be measured using different geomagnetic indexes. Although a geomagnetic disturbance is a global phenomenon, the intensities and characteristics vary at different geographic locations (NOAA, 2023).",es,0.99,gemini-3.5,Single model (skipped consensus),0.1,ET0101,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/et0101
Geomagnetic Disturbance,geomagnetische Störung,"A geomagnetic disturbance refers to perturbations in Earth's magnetosphere caused by sudden and significant variations in the solar wind's speed, density, and magnetic properties. The intensity of a geomagnetic disturbance can be measured using different geomagnetic indexes. Although a geomagnetic disturbance is a global phenomenon, the intensities and characteristics vary at different geographic locations (NOAA, 2023).",de,0.99,gemini-3.5,Single model (skipped consensus),0.1,ET0101,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/et0101
Critical Infrastructure Failure,Défaillance des infrastructures critiques,"Critical Infrastructure failure is defined as the failure in one or more of the physical structures, facilities, networks and other assets which provide services that are essential to the social and economic functioning of a community or society (UNGA, 2016).",fr,0.95,gemini-3.5,Single model (skipped consensus),0.1,TL0207,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0207
Critical Infrastructure Failure,Fallo de infraestructura crítica,"Critical Infrastructure failure is defined as the failure in one or more of the physical structures, facilities, networks and other assets which provide services that are essential to the social and economic functioning of a community or society (UNGA, 2016).",es,0.98,gemini-3.5,Single model (skipped consensus),0.1,TL0207,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0207
Critical Infrastructure Failure,Ausfall kritischer Infrastrukturen,"Critical Infrastructure failure is defined as the failure in one or more of the physical structures, facilities, networks and other assets which provide services that are essential to the social and economic functioning of a community or society (UNGA, 2016).",de,0.97,gemini-3.5,Single model (skipped consensus),0.1,TL0207,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0207
Lead,Plomb,"Lead is a naturally occurring highly toxic heavy metal. Its widespread use has caused extensive environmental contamination and health problems in many parts of the world. It is a cumulative toxicant that affects multiple body systems, including the neurological, haematological, gastrointestinal, cardiovascular and renal systems. Children are particularly vulnerable to the neurotoxic effects of lead, and even relatively low levels of exposure can cause serious and, in some cases, irreversible neurological damage (WHO, 2024).",fr,0.99,gemini-3.5,Single model (skipped consensus),0.1,CH0103,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/ch0103
