language,term,system,truth,lex_score,sem_score
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,aquaculture  agriculturefisheries  agriculture,"Aquaculture – Agriculture, Pêche – Agriculture","Aquaculture - Agriculture, Pêche - Agriculture",0.98,1.00
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,water,eau,L'eau,0.86,0.97
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,water,eau,L'eau,0.86,0.97
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,water,eau,L'eau,0.86,0.97
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,education,éducation,L'éducation,0.95,0.99
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,water,eau,L'eau,0.86,0.97
fr,industry,Industrie,L'industrie,0.95,0.95
fr,industry,Industrie,L'industrie,0.95,0.95
fr,water,eau,L'eau,0.86,0.97
fr,industry,Industrie,L'industrie,0.95,0.95
fr,wellbeing,bien‑être,Bien-être,0.94,0.93
fr,ecosystems diversity,Biodiversité des écosystèmes,Diversité des écosystèmes,0.94,0.92
fr,community  sense of,sentiment de communauté,Communauté (sens de),0.49,0.81
fr,provisioning services,services de provisionnement,Services d'approvisionnement,0.93,0.83
fr,education,éducation,L'éducation,0.95,0.99
fr,sacred sites,sites sacrés,Lieux sacrés,0.75,0.85
fr,indigenous knowledge,connaissance autochtone,Savoirs autochtones,0.62,0.64
fr,plant diseases,maladies végétales,Maladies des plantes,0.58,0.85
fr,carcinogens,carcinogènes,Cancérogènes,0.75,0.68
fr,seismic,séismique,Sismique,0.94,0.99
fr,other geohazard,Autre danger géologique,Autres géorisques,0.65,0.55
fr,convectiverelated,convectif,Liées à la convection,0.53,0.40
fr,waterrelated,liés à l'eau,L'eau,0.53,0.97
fr,particlerelated,relatif aux particules,Liées aux particules,0.76,0.98
fr,marinerelated,marin,En rapport avec la mer,0.15,0.57
fr,precipitationrelated,précipitation,Liées aux précipitations,0.70,0.90
fr,temperaturerelated,température,Liées à la température,0.67,0.95
fr,wind  pressurerelated,vent et pression,Liées au vent et à la pression,0.70,0.95
fr,behavioural,comportemental,Comportementale,0.97,0.52
fr,radiation,radiation,Rayonnement,0.40,0.90
fr,constructionstructural failure,défaillance structurelle,Défaillance de la construction/des structures,0.62,0.85
fr,cyber hazards,cyberrisque,Risques cybernétiques,0.38,0.87
fr,industrial failure,défaillance industrielle,Échec industriel,0.70,0.75
fr,waste,déchet,Déchets,0.92,0.88
fr,other biological hazards,Autres dangers biologiques,Autres risques biologiques,0.81,0.96
fr,harmful algal blooms,Floraison d'algues toxiques,Efflorescences algales nuisibles,0.55,0.62
fr,locust upsurge,épidémie de sauterelles,La recrudescence acridienne,0.24,0.24
fr,humanwildlife conflict,Conflit homme-faune,Conflits entre l'homme et la faune,0.71,0.81
fr,suicide cluster,cluster de suicides,Grappe de suicides,0.70,0.86
fr,bacterial plant disease,Maladie phytopathogène bactérienne,Maladie bactérienne des plantes,0.58,0.75
fr,fungal plant disease,Maladie phytopathologique fongique,Maladie fongique des plantes,0.52,0.57
fr,anthrax,charbon,Anthrax,0.29,0.27
fr,airborne diseases,Maladies aéroportées,Maladies transmises par l'air,0.50,0.81
fr,bloodborne viruses,virus transmissibles par le sang,Virus à diffusion hématogène,0.47,0.88
fr,waterborne diseases,maladies transmissibles par l'eau,Maladies transmises par l'eau,0.93,0.89
fr,foodborne diseases,Maladies liées aux aliments,Maladies d'origine alimentaire,0.68,0.92
fr,vectorborne diseases vbd,maladies transmises par vecteurs,Maladies à transmission vectorielle (MVC),0.68,0.73
fr,zoonotic diseases,Maladies zooniques,Maladies zoonotiques,0.95,0.98
fr,prion diseases,maladies des prions,Maladies à prions,0.89,0.85
fr,hiv and aids,VIH/sida,VIH et sida,0.78,0.90
fr,covid19 sarscov2,COVID-19,COVID-19 (SARS-CoV-2),0.61,0.83
fr,escherichia coli stec,Escherichia coli producteurs de Shiga,Escherichia Coli (STEC),0.66,0.57
fr,avian influenza,Influenza aviaire,Grippe aviaire,0.65,0.87
fr,leptospirosis,léptosporose,Leptospirose,0.92,0.57
fr,leprosy,leprose,Lèpre,0.83,0.46
fr,diphtheria,diphthérie,Diphtérie,0.95,0.74
fr,meningococcal meningitis,Meningite meningococcique,Méningite à méningocoques,0.88,0.41
fr,pertussis human,la coqueluche,Coqueluche (humaine),0.65,0.69
fr,malaria,Paludisme,Malaria,0.38,0.36
fr,brucellosis,la brucellose,Brucellose,0.87,0.64
fr,footandmouth disease,maladie de la morsure et de la gueule,Fièvre aphteuse,0.35,0.62
fr,lumpy skin disease,maladie de la peau en nodules,Maladie de la peau grumeleuse,0.79,0.86
fr,african swine fever,Fievre porcine africaine,Peste porcine africaine,0.85,0.92
fr,classical swine fever,Fièvre porcine classique,Peste porcine classique,0.85,0.89
fr,rinderpest,rinderpest,Peste bovine,0.36,0.39
fr,oyster disease aquaculture,Maladie des huîtres en aquaculture,Maladie de l'huître Aquaculture,0.91,0.93
fr,ammonia,ammoniaque,Ammoniac,0.78,0.96
fr,household air pollution,Pollution de l'air domestique,Pollution de l'air dans les ménages,0.71,0.96
fr,land degradation,dégradation des terres,Dégradation des sols,0.81,0.89
fr,salinity  sodicity,salinité et sodité,Salinité &amp ; Sodicité,0.80,0.80
fr,forest disturbances,Troubles des forêts,Perturbations forestières,0.50,0.90
fr,loss of mangroves,perte des mangroves,Perte de mangroves,0.97,0.99
fr,wetland lossdegradation,Perte et dégradation des zones humides,Perte/dégradation des zones humides,0.94,0.92
fr,coral bleaching,Blanchissement des coraux,Blanchiment du corail,0.78,0.95
fr,compressive soils,sols compressibles,Sols compressifs,0.88,0.74
fr,permafrost loss,perte du pergélisol,Perte de pergélisol,0.95,0.88
fr,sand mining,extraction de sable,Exploitation du sable,0.80,0.74
fr,sea level rise,élévation du niveau de la mer,L'élévation du niveau de la mer,0.98,0.97
fr,eutrophication,L'eutrophisation,Eutrophisation,0.97,0.93
fr,deforestation,déforestation,La déforestation,0.90,0.99
fr,forest invasive species,Espèces invasives forestières,Espèces forestières envahissantes,0.61,0.96
fr,wildfires,feux de forêts,Incendies de forêt,0.62,0.99
fr,airburst,explosion aérienne,Airburst,0.08,0.82
fr,geomagnetic disturbance,Troubles géomagnétiques,Perturbations géomagnétiques,0.75,0.93
fr,ultraviolet radiation,Irradiation ultraviolette,Ultraviolet Radiation,0.52,0.88
fr,meteorite impact,impact météoritique,Impact des météorites,0.80,0.82
fr,ionospheric disturbances,Troubles ionosphériques,Perturbations ionosphériques,0.75,0.79
fr,space hazard  accident,Danger spatial / Accident,Risque spatial / Accident,0.79,0.97
fr,nearearth object,Objet proche de la Terre,Objet géocroiseur,0.49,0.55
fr,earthquake,Séisme,Tremblement de terre,0.23,0.34
fr,pyroclastic density current,Courant pyroclastique de densité,Courant de densité pyroclastique,0.66,0.98
fr,shrinkswell subsidence,Subsidence par retrait‑gonflement,Affaissement par retrait-gonflement,0.78,0.78
fr,sinkhole,sinkhole,Trou d'épingle,0.38,0.42
fr,sand encroachment,avancée du sable,Empiétement de sable,0.50,0.96
fr,downburst,Turbulence descendant,Déclenchement,0.47,0.27
fr,lightning electrical storm,éclair,Foudre (orage électrique),0.21,0.66
fr,coastal flooding,inondation côtière,Inondations côtières,0.95,0.98
fr,estuarine coastal flooding,inondation estuarienne,Inondations estuariennes (côtières),0.80,0.97
fr,flash flooding,inondation Flash,Inondations soudaines,0.70,0.79
fr,fluvial riverine flooding,inondation fluviale,Inondations fluviales (riveraines),0.75,0.90
fr,groundwater flooding,Inondation des eaux souterraines,Inondations des eaux souterraines,0.98,0.99
fr,ponding drainage flooding,inondation par stagnation,Étang (drainage) Inondation,0.40,0.72
fr,snowmelt flooding,inondations par fonte des neiges,Inondations dues à la fonte des neiges,0.86,0.89
fr,surface water flooding,Inondation par eaux de surface,Inondations des eaux de surface,0.89,0.98
fr,fog,brume,Brouillard,0.40,0.46
fr,haze,brume,Haze,0.22,0.48
fr,sand haze,brouillard de sable,Brume de sable,0.73,0.97
fr,rogue wave,vague de type rogue,Rogue Wave,0.34,0.65
fr,sea ice icebergs,glace marine,Glace de mer (Icebergs),0.61,0.88
fr,ice flow,écoulement de la glace,L'écoulement de la glace,0.98,0.97
fr,seiche,séiche,Chêne,0.55,0.91
fr,storm surge,maraude,L'onde de tempête,0.17,0.31
fr,storm tides,marée de tempête,Marées de tempête,0.97,0.93
fr,extratropical cyclone,cyclone ex-tropical,Cyclone extra-tropical,0.92,0.90
fr,acid rain,pluie acide,Pluies acides,0.92,0.53
fr,cold wave,fronde de froid,Vague de froid,0.69,0.96
fr,dzud,droux hivernale,Dzud,0.21,0.53
fr,frost hoar frost,givre,Givre (Givre blanc),0.45,0.63
fr,glaze,verre,Glacis,0.00,0.85
fr,ground frost,Givre au sol,Gel du sol,0.73,0.62
fr,icing including ice,glaçage,Glaçage (y compris la glace),0.42,0.86
fr,thaw,décongeler,Dégel,0.67,0.62
fr,avalanche,glissade,Avalanche,0.35,0.42
fr,derecho,Lignes de grondards renforcées,Droit,0.17,0.44
fr,gale strong gale,gale,Gale (Strong Gale),0.40,0.65
fr,tornado,tornado,Tornade,0.86,0.98
fr,civil unrest,désordre civil,Troubles civils,0.55,0.73
fr,explosive ordnance,matériels explosifs,Munitions explosives,0.67,0.86
fr,radioactive agents  material,Agents et matériau radioactifs,Agents radioactifs &amp ; Matériel,0.58,0.88
fr,building collapse,Effondrement du bâtiment,Effondrement d'un bâtiment,0.98,0.99
fr,building highrise cladding,bardage d'immeuble de grande hauteur,"Bâtiment, gratte-ciel, revêtement",0.37,0.47
fr,bridge failure,défaillance du pont,Rupture de pont,0.47,0.94
fr,dam failure,défaillance de barrage,Rupture de barrage,0.60,0.89
fr,supply chain failure,Avarie de la chaîne d'approvisionnement,Défaillance de la chaîne d'approvisionnement,0.86,0.84
fr,critical infrastructure failure,Échec des infrastructures critiques,Défaillance des infrastructures critiques,0.87,0.88
fr,nuclear plant failure,défaillance de centrale nucléaire,Défaillance d'une centrale nucléaire,0.97,0.99
fr,water supply failure,défaillance d'approvisionnement en eau,Défaillance de l'approvisionnement en eau,0.96,1.00
fr,malware,logiciel malveillant,Logiciels malveillants,0.95,0.44
fr,cyberbullying,cyberharcelement,Cyberintimidation,0.42,0.81
fr,natech,Accidents technologiques induits par les risques naturels,Natech,0.16,0.22
fr,mining hazards,Risques des mines,Risques miniers,0.81,0.83
fr,electronic waste ewaste,déchets électroniques,Déchets électroniques (E-Waste),0.86,0.93
fr,healthcare waste,déchets médicaux,Déchets de soins de santé,0.54,0.66
fr,landfilling,décharge,Mise en décharge,0.67,0.92
fr,tailings,déchets miniers,Résidus,0.18,0.42
fr,marine debris,Déchets marins,Débris marins,0.74,0.88
fr,reservoir flooding,inondation du réservoir,Inondations des réservoirs,0.90,0.98
fr,air transportation accident,accident d'aviation,Accident de transport aérien,0.57,0.94
fr,road traffic accident,accident de la circulation routière,Accident de la route,0.73,0.95
fr,flooding,inondation,Inondations,0.95,0.97
fr,marine heatwave,Marée chaude marine,Canicule marine,0.65,0.68
fr,supply chain attack,attaque de chaîne d'approvisionnement,Attaque de la chaîne d'approvisionnement,0.96,0.91
fr,social engineering  phishing,ingénierie sociale - phishing,Ingénierie sociale - Hameçonnage,0.78,0.78
fr,tunnel failure,Défaillance des tunnels,Rupture de tunnel,0.55,0.93
fr,biological,biologique,Biologie,0.89,0.94
fr,chemical,substance chimique,Chimique,0.62,0.56
fr,environmental,environnemental,Environnement,0.93,0.64
fr,meteorological and hydrological,météorologique et hydrologique,Météorologie et hydrologie,0.93,0.68
fr,provisioning services,services de provisionnement,Services d'approvisionnement,0.93,0.83
fr,one health,Santé unique,Une santé,0.48,0.53
fr,from ground water,à partir d'eau souterraine,A partir des eaux souterraines,0.91,0.96
fr,culture livelihoods,subsistance culturelle,Culture Moyens de subsistance,0.43,0.88
fr,coal generation,production d'électricité au charbon,Production de charbon,0.76,0.86
fr,others nonformal education,Autres – Éducation non formelle,Autres -Éducation non formelle,0.97,0.96
fr,crosscutting,transversal,Transversale,0.96,0.80
fr,water,eau,L'eau,0.86,0.97
fr,renewable,Renouvelable,Renouvelables,0.96,0.95
fr,commerce livelihoods,Subsistances commerciales,Moyens de subsistance du commerce,0.69,0.82
fr,sea and coastal,Marine et littoral,Mer et littoral,0.85,0.82
fr,collective living quarters,logements collectifs,Locaux d'habitation collectifs,0.57,0.92
fr,othernon categorized,Autre - non catégorisé,Autres - non catégorisés,0.95,0.66
fr,large scale sanitation,assainissement à grande échelle,Large scale sanitation,0.26,0.72
fr,railway passenger transport,transport ferroviaire de voyageurs,transport ferroviaire de passagers,0.88,0.99
fr,employees,employés,Salariés,0.38,0.77
fr,urban sewage system,système d'égouts urbains,Système d'assainissement urbain,0.68,0.75
fr,conventional dwellings,habitation conventionnelle,Logements conventionnels,0.60,0.45
fr,other telecommunications activities,Autres activités de télécommunication,Autres activités de télécommunications,0.99,1.00
fr,natural sites,site naturel,Sites naturels,0.92,0.97
fr,warehousing and storage,magasinage et stockage,Entreposage et stockage,0.71,0.83
fr,employment activities,Activités d’emploi,Activités liées à l'emploi,0.74,0.97
fr,nutrition,Nutrition,La nutrition,0.86,0.97
fr,selfemployed,travailleur indépendant,Indépendants,0.63,0.45
fr,genderbased violence,violence fondée sur le genre,Violence fondée sur le sexe,0.91,0.96
fr,other retail trade,autre commerce de détail,Autres commerces de détail,0.96,0.96
fr,other wholesade trade,Autre commerce de gros,Autres commerces de gros,0.96,0.90
fr,cultural sites,site culturel,Sites culturels,0.93,0.97
fr,from reclaimed,Récupéré,De Reclaimed,0.40,0.84
fr,gender inequalities,inégalités de genre,Inégalités entre les hommes et les femmes,0.50,0.85
fr,construction,construction,La construction,0.89,0.97
fr,logging,journalisation,Enregistrement,0.36,0.52
fr,industry,Industrie,L'industrie,0.95,0.95
fr,from rainwater harvested,eau pluviale récoltée,A partir de l'eau de pluie récoltée,0.65,0.92
fr,coal distribution,distribution de charbon,Distribution du charbon,0.96,0.99
fr,repositories of heritage,Dépôt de patrimoine,Dépôts du patrimoine,0.92,0.99
fr,health information systems,systèmes d'information de santé,Systèmes d'information sur la santé,0.88,0.90
fr,land transportation,Transport routier,Transports terrestres,0.68,0.75
fr,connective infrastructure,infrastructure de connectivité,Infrastructure de connexion,0.84,0.94
fr,publishing,Publication,Édition,0.56,0.80
fr,road passenger transport,transport routier de passagers,Transport routier de voyageurs,0.87,0.96
fr,wholesale travel agencies,agences de voyages en gros,Agences de voyage en gros,0.98,0.97
fr,piped water distribution,réseau de distribution d'eau,Distribution d'eau par canalisation,0.56,0.76
fr,permanent perennial crops,Cultures permanentes vivaces,Cultures permanentes et pérennes,0.77,0.95
fr,marine fishing,pêche maritime,Pêche en mer,0.62,0.90
fr,community infrastructure,infrastructure communautaire,Infrastructures communautaires,0.97,0.98
fr,regulating services,Services de régulation,Réglementation des services,0.33,0.73
fr,extraultrahigh voltage,haute tension,Extra/ultra/haute tension,0.72,0.82
fr,other manufacturing,Autre fabrication,Autres activités manufacturières,0.41,0.83
fr,online travel agencies,agence de voyage en ligne,Agences de voyage en ligne,0.98,0.98
fr,other land transport,Autre transport terrestre,Autres transports terrestres,0.94,0.99
fr,traditional knowledge,connaissance traditionnelle,"les connaissances traditionnelles,",0.90,0.98
fr,upper chambersenate,Sénat,Chambre haute/Sénat,0.43,0.28
fr,care livelihoods,revenus du travail de soins,Soins aux moyens de subsistance,0.34,0.59
fr,communicable diseases programs,Programmes de maladies transmissibles,Programmes de lutte contre les maladies transmissibles,0.81,0.94
fr,forestry and logging,foresterie et exploitation forestière,Sylviculture et exploitation forestière,0.76,0.86
fr,pension funding,financement des régimes de retraite,Financement des pensions,0.64,0.94
fr,agricultural land,terre agricole,Terres agricoles,0.93,0.98
fr,1primary education,Enseignement primaire,1-Enseignement primaire,0.98,0.74
fr,water transportation,transport maritime,Transport par voie d'eau,0.68,0.75
fr,regional  decentralized administration,Administration régionale décentralisée,Administration régionale - décentralisée,0.99,1.00
fr,electricity storage,stockage d'électricité,Stockage de l'électricité,0.93,0.96
fr,disaster recovery,Récupération après sinistre,Reprise après sinistre,0.78,0.89
fr,0early childhood,0–Petite enfance,0-Petite enfance,0.97,0.99
fr,tour operators,organisateur de voyages,Tour-opérateurs,0.43,0.78
fr,other water transportation,Autres transports maritimes,Autres transports par eau,0.81,0.74
fr,agriculture,l'agriculture,Agriculture,0.96,0.99
fr,electricity,électricité,L'électricité,0.96,1.00
fr,other specialized wholesale,Autre commerce de gros spécialisé,Autres commerces de gros spécialisés,0.96,0.95
fr,manufacturing,manufacture,Fabrication,0.36,0.71
fr,retail travel agencies,agences de voyage de détail,Agences de voyage au détail,0.93,0.98
fr,silviculture,silviculture,Sylviculture,0.92,0.66
fr,protective infrastructure,infrastructure de protection,Infrastructures de protection,0.98,0.99
fr,psychological abuse,abus psychologique,Abus psychologiques,0.97,0.89
fr,supporting services,services de support,Services d'appui,0.71,0.97
fr,water sources generation,Génération des sources d'eau,Sources d'eau - production,0.47,0.78
fr,commnications community lifelines,Lignes de vie communautaires de communication,Communications - lignes de vie communautaires,0.63,0.99
fr,species,espèce,Espèces,0.92,0.82
fr,4 post secondary,postsecondaire,4- Post-secondaire,0.93,0.74
fr,service livelihoods,Service de moyens de subsistance,Moyens de subsistance liés aux services,0.59,0.92
fr,others lifelong learning,Autres - apprentissage tout au long de la vie,Autres - éducation et formation tout au long de la vie,0.72,0.88
fr,mining and quarrying,extraction minière et carrières,Mines et carrières,0.69,0.89
fr,communitybased,basé sur la communauté,communautaire,0.57,0.88
fr,wired telecommunication activities,activités de télécommunication filaire,"Activités de télécommunications filaires,",0.97,0.90
fr,tangible cultural heritage,Patrimoine culturel tangible,Patrimoine culturel matériel,0.82,0.93
fr,noncommunicable diseases programs,Programmes de maladies non transmissibles,Programmes de lutte contre les maladies non transmissibles,0.83,0.96
fr,primary education,éducation primaire,Enseignement primaire,0.56,0.90
fr,from soil water,eau du sol,De l'eau du sol,0.83,0.98
fr,hunting and trapping,chasse et capture,Chasse et piégeage,0.69,0.67
fr,road transport infrastructure,infrastructure de transport routier,Infrastructures de transport routier,0.99,0.99
fr,freight air transport,transport aérien de fret,Transport aérien de marchandises,0.79,0.91
fr,oil strorage,stockage de pétrole,Stockage du pétrole,0.95,0.97
fr,disaster risk management,Gestion des risques liés aux catastrophes,Gestion des risques de catastrophes,0.89,0.99
fr,cultural practices,pratiques culturelles,les pratiques culturelles,0.91,1.00
fr,natural gas upstream,gaz naturel – exploration et production,Gaz naturel - en amont,0.60,0.89
fr,temporary  annual crops,Cultures temporaires annuelles,Temporaire - cultures annuelles,0.70,0.96
fr,gas distribution,réseau de distribution de gaz,Distribution du gaz,0.75,0.85
fr,oil refinery,raffinerie pétrolière,Raffinerie de pétrole,0.86,0.96
fr,housing units,unités d'habitation,Unités de logement,0.50,0.99
fr,agriculture livelihoods,moyens de subsistance agricole,Moyens de subsistance agricoles,0.98,0.96
fr,industry livelihoods,emploi industriel,Moyens de subsistance dans l'industrie,0.41,0.55
fr,other housing units,Autres unités d'habitation,Autres unités de logement,0.64,0.99
fr,freshwater fishing,pêche d'eau douce,Pêche en eau douce,0.88,0.96
fr,consumable fuels,Carburants consommables,Combustibles consommables,0.75,0.87
fr,land  including soils,terres,Terres (y compris les sols),0.39,0.61
fr,water distribution,réseau de distribution d'eau,Distribution de l'eau,0.72,0.83
fr,oil manufacture upstream,exploitation pétrolière,Fabrication de pétrole/en amont,0.57,0.81
fr,education,éducation,L'éducation,0.95,0.99
fr,harmful traditional practices,pratiques traditionnelles nuisibles,Pratiques traditionnelles néfastes,0.87,0.76
es,medium,Medio,Intermedio,0.67,0.61
es,flood,inundación,Inundar,0.71,0.52
es,wildfire,incendio forestal,Inundación,0.44,0.31
es,hurricane,huracán,Ciclón,0.31,0.33
es,mission introduction,Introducción de misión,Introducción a la misión,0.87,0.99
es,advisor,Consejero,TUTOR,0.29,0.75
es,fact,hecho,Esencial,0.31,0.83
es,key facts,Datos clave,Esenciales,0.19,0.48
es,evacuating,evacuación,Evacuar,0.71,0.96
es,hospitals,hospital,Hospitales,0.89,0.95
es,start disaster,inicio del desastre,Comienza el desastre,0.72,0.99
es,show risk,Mostrar riesgo,Riesgo,0.60,0.31
es,stop disasters,Stop Disasters,Detengan los desastres,0.50,0.95
es,select a scenario,Seleccionar un escenario,Escoger un sitio,0.50,0.46
es,south east asia,Sudeste asiático,Asia Suroriental,0.31,0.94
es,coastal village,pueblo costero,Aldea costera,0.59,0.73
es,lowland hills,Colinas de baja altitud,Colinas de zonas bajas,0.67,0.77
es,easterncentral europe,Europa central y oriental,Europa Central/Oriental,0.94,0.93
es,valley flood plains,llanuras inundables del valle,Llanuras anegables,0.64,0.35
es,central australia,Australia central,Centro de Australia,0.50,0.95
es,arid plains,Planicies áridas,Llanuras áridas,0.71,0.90
es,the caribbean,El Caribe,América Central,0.33,0.60
es,caribbean island,isla del Caribe,Islas del Caribe,0.97,0.97
es,daily news post,Publicación diaria de noticias,El Heraldo de Barataria,0.34,0.54
es,view scene,Vista de escena,Ver la escena,0.64,0.93
es,view report,Ver informe,Ver el informe,0.88,0.86
es,housing and development,Vivienda y desarrollo,Viviendas y repartos,0.73,0.75
es,population housed,Población alojada,Número de residentes en sus hogares,0.19,0.54
es,population sheltered,Población resguardada,Número de albergados,0.29,0.41
es,population died,Población fallecida,Número de muertos,0.11,0.76
es,population injured,Población herida,Número de heridos,0.42,0.85
es,missions,misiones,Misión,0.86,0.93
es,school built,Escuela construida,{{SCHOOL}} construidas,0.78,0.62
es,hospital built,hospital construido,{{HOSPITAL}} construidos,0.97,0.91
es,key facts found,Datos clave encontrados,Datos esenciales encontrados,0.82,0.75
es,budget remaining,Presupuesto restante,Saldo del presupuesto,0.54,0.80
es,fail,Fallo,Suspenso,0.15,0.81
es,pass,pasar,Aprobado,0.31,0.62
es,well done,¡Bien hecho!,¡Bien!,0.62,0.96
es,unlucky,desafortunado,¡No tuvo suerte!,0.21,0.69
es,try again,Reintentar,Ensaye de nuevo,0.24,0.69
es,continue,continue,Continuar,0.82,0.98
es,development defences,Desarrollo de defensas,Desarrollo: Defensas,0.93,0.93
es,development structures,Estructuras de desarrollo,Desarrollo: Estructuras,0.47,0.96
es,clearance  preparation,Preparación de datos,Despeje y preparación,0.54,0.63
es,total cost,Costo total,Coste total,0.91,1.00
es,item,elemento,Artículo,0.25,0.55
es,items,elementos,Artículos,0.33,0.57
es,cancel,cancelar,Anular,0.71,0.67
es,score,score,Cómputo,0.33,0.45
es,remaining,Restante,Permanente,0.56,0.73
es,housing,Vivienda,Viviendas,0.94,0.93
es,defences,defensas,Barreras,0.38,0.53
es,unhoused,sin techo,Zona no edificada,0.15,0.47
es,housed,albergado,Zona edificada,0.35,0.61
es,sheltered,protegido,Albergado,0.44,0.63
es,show risk,Mostrar riesgo,RIESGO DE MUESTRA,0.39,0.29
es,start disaster,inicio del desastre,COMENZAR DESASTRE,0.56,0.49
es,confirm,confirmación,CONFIRMAR,0.76,0.68
es,housing goal,objetivo de vivienda,Objetivo de viviendas,0.98,0.99
es,build,construcción,Construir,0.76,0.88
es,number school,{{NUMBER}} escuela,{{NUMBER}} {{SCHOOL}},0.74,0.93
es,build,construcción,Construir,0.76,0.88
es,max fatalities,máximo de víctimas,Fatalidades máximas,0.38,0.79
es,play game,jugar un juego,Inicio del juego,0.47,0.75
es,game developed by,Desarrollado por,Juego desarrollado por,0.84,0.56
es,the top bar,Barra superior,La barra superior,0.90,0.65
es,the information panel,Panel de información,El cuadro de información,0.77,0.67
es,the main screen,pantalla principal,La pantalla principal,0.92,0.98
es,1 week course,Curso de una semana,1 curso a la semana,0.79,0.95
es,stop disasters,Stop Disasters,Alto a los desastres,0.59,0.84
